Year,Decade,Team,TeamFull,PlayerOrder
1982,1980s,Bullets,Washington Bullets,Carlos Terry|Charles Davis|Garry Witts|Brad Holland|Jim Chones|Don Collins|John Lucas|Frank Johnson|Jeff Ruland|Spencer Haywood|Kevin Grevey|Rick Mahorn|Greg Ballard
1982,1980s,Knicks,New York Knicks,Hollis Copeland|Larry Demic|DeWayne Scales|Alex Bradley|Reggie Carter|Toby Knight|Mike Newlin|Marvin Webster|Randy Smith|Paul Westphal|Sly Williams|Bill Cartwright|Campy Russell|Maurice Lucas|Michael Ray Richardson
1982,1980s,Bucks,Milwaukee Bucks,Geoff Crompton|Brad Holland|Kevin Stacom|Mike Evans|Pat Cummings|Alton Lister|Bob Dandridge|Scott May|Robert Smith|Harvey Catchings|Junior Bridgeman|Mickey Johnson|Bob Lanier|Brian Winters|Quinn Buckner|Marques Johnson|Sidney Moncrief
1982,1980s,Hawks,Atlanta Hawks,Craig Shelton|Freeman Williams|Al Wood|Sam Pellom|Mike Glenn|Jim McElroy|Wes Matthews|Rudy Macklin|Charlie Criss|Tom McMillen|Tree Rollins|Steve Hawes|John Drew|Rory Sparrow|Eddie Johnson|Dan Roundfield
1982,1980s,Pistons,Detroit Pistons,Larry Wright|Glenn Hagan|Alan Hardy|Jeff Judkins|Paul Mokeski|Steve Hayes|Kenny Carr|Greg Kelser|Edgar Jones|Vinnie Johnson|Ron Lee|Phil Hubbard|Terry Tyler|Bill Laimbeer|John Long|Kent Benson|Isiah Thomas|Kelly Tripucka
1982,1980s,Pacers,Indiana Pacers,Raymond Townsend|George Johnson|Butch Carter|Jerry Sichting|George McGinnis|Tom Owens|Billy Knight|Louis Orr|Clemon Johnson|Mike Bantom|Herb Williams|Don Buse|Johnny Davis
1982,1980s,Bulls,Chicago Bulls,Roger Burkman|Jackie Robinson|Tracy Jackson|Ray Blume|Coby Dietrick|James Wilkes|Orlando Woolridge|Larry Kenon|Ricky Sobers|Dwight Jones|Ronnie Lester|Artis Gilmore|Reggie Theus|Dave Greenwood
1982,1980s,Cavs,Cleveland Cavaliers,Mickey Dillard|Mel Bennett|Keith Herron|Mike Evans|Don Ford|Kevin Restani|Paul Mokeski|Richard Washington|Lowes Moore|Brad Branson|Bill Laimbeer|Roger Phegley|James Silas|Phil Hubbard|Reggie Johnson|Bob Wilkerson|Scott Wedman|Geoff Huston|Cliff Robinson|Kenny Carr|James Edwards|Mike Mitchell|Ron Brewer
1982,1980s,Spurs,San Antonio Spurs,Rich Yonakor|Steve Hayes|Kevin Restani|Roger Phegley|John Lambert|Ed Rains|Paul Griffin|Mike Bratz|George Johnson|Gene Banks|Ron Brewer|Reggie Johnson|Dave Corzine|Johnny Moore|Mark Olberding|George Gervin|Mike Mitchell
1982,1980s,Nuggets,Denver Nuggets,James Ray|David Burns|John Roche|Cedrick Hordges|David Thompson|Glen Gondrezick|Dave Robisch|Kenny Higgs|Billy McKinney|Dan Issel|T.R. Dunn|Kiki Vandeweghe|Alex English
1982,1980s,Rockets,Houston Rockets,Jawann Oldham|Larry Spriggs|Major Jones|Billy Paultz|Calvin Garrett|Mike Dunleavy|Calvin Murphy|Bill Willoughby|Tom Henderson|Allen Leavell|Elvin Hayes|Robert Reid|Moses Malone
1982,1980s,Kansas City Kings,Kansas City Kings,Sam Lacey|Hawkeye Whitney|John Lambert|Kevin Loder|Leon Douglas|Kenny Dennard|Eddie Johnson|Joe Meriweather|Steve Johnson|Ernie Grunfeld|Larry Drew|Reggie Johnson|Phil Ford|Mike Woodson|Cliff Robinson|Reggie King
1982,1980s,Mavs,Dallas Mavericks,Clarence Kea|Ollie Mack|Scott Lloyd|Kurt Nimphius|Tom LaGarde|Jim Spanarkel|Wayne Cooper|Rolando Blackman|Allan Bristow|Elston Turner|Mark Aguirre|Brad Davis|Jay Vincent
1982,1980s,Jazz,Utah Jazz,Sam Worthen|Bobby Cattage|Howard Wood|Bill Robinzine|John Duren|Carl Nicks|Danny Schayes|Ben Poquette|James Hardy|Jeff Wilkins|Darrell Griffith|Rickey Green|Adrian Dantley
1982,1980s,Sonics,Seattle SuperSonics,Mark Radford|Ray Tolbert|Greg Kelser|Armond Hill|John Johnson|Danny Vranes|Vinnie Johnson|James Bailey|James Donaldson|Fred Brown|Phil Smith|Bill Hanzlik|Wally Walker|Lonnie Shelton|Gus Williams|Jack Sikma
1982,1980s,Suns,Phoenix Suns,John McCullough|Craig Dykema|Joel Kramer|Dudley Bradley|Larry Nance|Jeff Cook|Alvin Scott|Walter Davis|Rich Kelley|Alvan Adams|Kyle Macy|Dennis Johnson|Truck Robinson
1982,1980s,Warriors,Golden State Warriors,Lewis Lloyd|Hank McDowell|Joe Hassett|Sonny Parker|Rickey Brown|Lorenzo Romar|Sam Williams|Purvis Short|Mike Gale|Larry Smith|Joe Barry Carroll|World B. Free|Bernard King
1982,1980s,Blazers,Portland Trail Blazers,Carl Bailey|Kevin Kunnert|Jeff Lamp|Dennis Awtrey|P̩tur Gu̡mundsson|Billy Ray Bates|Darnell Valentine|Pete Verhoeven|Kermit Washington|Mike Harper|Bob Gross|Kelvin Ransey|Jim Paxson|Calvin Natt|Mychal Thompson
1982,1980s,San Diego Clippers,San Diego Clippers,Rock Lee|Ron Davis|Jim Smith|John Douglas|Jim Brogan|Michael Wiley|Freeman Williams|Al Wood|Armond Hill|Joe Bryant|Swen Nater|Charlie Criss|Phil Smith|Jerome Whitehead|Brian Taylor|Tom Chambers|Michael Brooks
1983,1980s,76ers,Philadelphia 76ers,J.J. Anderson|Mark McNamara|Earl Cureton|Russ Schoene|Franklin Edwards|Reggie Johnson|Marc Iavaroni|Clemon Johnson|Clint Richardson|Bobby Jones|Andrew Toney|Maurice Cheeks|Julius Erving|Moses Malone
1983,1980s,Celtics,Boston Celtics,Darren Tillis|Charles Bradley|M.L. Carr|Scott Wedman|Rick Robey|Gerald Henderson|Quinn Buckner|Danny Ainge|Tiny Archibald|Cedric Maxwell|Kevin McHale|Robert Parish|Larry Bird
1983,1980s,Nets,New Jersey Nets,Jan van Breda Kolff|James Bailey|Bill Willoughby|Eddie Phillips|Sleepy Floyd|Len Elmore|Mike Gminski|Mike O'Koren|Foots Walker|Phil Ford|Mickey Johnson|Darryl Dawkins|Otis Birdsong|Albert King|Darwin Cook|Michael Ray Richardson|Buck Williams
1983,1980s,Knicks,New York Knicks,Mike Davis|Scott Hastings|Vince Taylor|Marvin Webster|Ernie Grunfeld|Louis Orr|Sly Williams|Trent Tucker|Paul Westphal|Ed Sherod|Rory Sparrow|Truck Robinson|Bill Cartwright|Bernard King
1983,1980s,Bullets,Washington Bullets,Steve Lingenfelter|Carlos Terry|Joe Cooper|Dave Batton|John Lucas|Chubby Cox|Joe Kopicki|Charles Davis|Bryan Warrick|Kevin Grevey|Billy Ray Bates|Kevin Porter|Spencer Haywood|Don Collins|Frank Johnson|Ricky Sobers|Jeff Ruland|Greg Ballard|Rick Mahorn
1983,1980s,Bucks,Milwaukee Bucks,Sam Pellom|Paul Mokeski|Armond Hill|Steve Mix|Charlie Criss|Paul Pressey|Phil Ford|Harvey Catchings|Alton Lister|Brian Winters|Bob Lanier|Dave Cowens|Mickey Johnson|Junior Bridgeman|Sidney Moncrief|Marques Johnson
1983,1980s,Hawks,Atlanta Hawks,Scott Hastings|Sam Pellom|Randy Smith|Keith Edmonson|Rickey Brown|George Johnson|Mike Glenn|Rudy Macklin|Wes Matthews|Steve Hawes|Tom McMillen|Johnny Davis|Eddie Johnson|Tree Rollins|Rory Sparrow|Dominique Wilkins|Dan Roundfield
1983,1980s,Pistons,Detroit Pistons,Jim Zoet|Jim Smith|Ricky Pierce|Jim Johnstone|Walker Russell|Ray Tolbert|Cliff Levingston|James Wilkes|Tom Owens|Scott May|Edgar Jones|John Long|Kent Benson|Vinnie Johnson|Terry Tyler|Bill Laimbeer|Isiah Thomas|Kelly Tripucka
1983,1980s,Bulls,Chicago Bulls,Larry Spriggs|Larry Kenon|Mike Bratz|Jawann Oldham|Dudley Bradley|Dwight Jones|Tracy Jackson|Ronnie Lester|Mark Olberding|Rod Higgins|Quintin Dailey|Orlando Woolridge|Dave Greenwood|Dave Corzine|Reggie Theus
1983,1980s,Cavs,Cleveland Cavaliers,Dave Magley|Darren Tillis|Bruce Flowers|John Bagley|Steve Hayes|Carl Nicks|Larry Kenon|Sam Lacey|Bob Wilkerson|Paul Mokeski|Phil Hubbard|James Edwards|Jeff Cook|Ron Brewer|Cliff Robinson|Geoff Huston|World B. Free|Scott Wedman
1983,1980s,Pacers,Indiana Pacers,Guy Morgan|Jose Slaughter|Brad Branson|Russ Schoene|John Duren|Marty Byrnes|Butch Carter|Clemon Johnson|George Johnson|Billy Knight|Jerry Sichting|Herb Williams|Clark Kellogg
1983,1980s,Spurs,San Antonio Spurs,Robert Smith|Oliver Robinson|Coby Dietrick|Jim Johnstone|Ed Rains|Roger Phegley|Geoff Crompton|Mike Sanders|Billy Paultz|Paul Griffin|Bill Willoughby|Mike Dunleavy|Edgar Jones|Johnny Moore|Gene Banks|Artis Gilmore|Mike Mitchell|George Gervin
1983,1980s,Nuggets,Denver Nuggets,Dwight Anderson|James Ray|Dave Robisch|Glen Gondrezick|Rich Kelley|Mike Evans|Bill Hanzlik|Rob Williams|Danny Schayes|Billy McKinney|Dan Issel|T.R. Dunn|Kiki Vandeweghe|Alex English
1983,1980s,Kansas City Kings,Kansas City Kings,Leon Douglas|Brook Steppe|Kenny Dennard|Kevin Loder|LaSalle Thompson|Reggie King|Steve Johnson|Reggie Johnson|Ed Nealy|Joe Meriweather|Mike Woodson|Ray Williams|Eddie Johnson|Larry Drew
1983,1980s,Mavs,Dallas Mavericks,Allan Bristow|Corny Thompson|Scott Lloyd|Elston Turner|Jim Spanarkel|Kurt Nimphius|Bill Garnett|Kelvin Ransey|Pat Cummings|Brad Davis|Rolando Blackman|Jay Vincent|Mark Aguirre
1983,1980s,Jazz,Utah Jazz,Rickey Williams|Kenny Natt|Freeman Williams|Mark Eaton|Jerry Eaves|J.J. Anderson|Rich Kelley|John Drew|Jeff Wilkins|Ben Poquette|Danny Schayes|Rickey Green|Darrell Griffith|Adrian Dantley
1983,1980s,Rockets,Houston Rockets,Calvin Garrett|Chuck Nevitt|Billy Paultz|Major Jones|Tom Henderson|Jeff Taylor|Calvin Murphy|Terry Teagle|James Bailey|Joe Bryant|Wally Walker|Elvin Hayes|Caldwell Jones|Allen Leavell
1983,1980s,Lakers,Los Angeles Lakers,Joe Cooper|Billy Ray Bates|Mark Landsberger|Clay Johnson|Eddie Jordan|Mike McGee|Dwight Jones|Steve Mix|Bob McAdoo|Kurt Rambis|James Worthy|Michael Cooper|Jamaal Wilkes|Kareem Abdul-Jabbar|Norm Nixon|Magic Johnson
1983,1980s,Suns,Phoenix Suns,Charles Pittman|Joel Kramer|Rory White|David Thirdkill|Jeff Cook|Johnny High|Alvin Scott|James Edwards|Kyle Macy|Alvan Adams|Walter Davis|Dennis Johnson|Maurice Lucas|Larry Nance
1983,1980s,Sonics,Seattle SuperSonics,John Greig|Mark Radford|Phil Smith|Ray Tolbert|Fred Brown|Steve Hawes|Greg Kelser|James Donaldson|Danny Vranes|David Thompson|Lonnie Shelton|Jack Sikma|Gus Williams
1983,1980s,Blazers,Portland Trail Blazers,Hank McDowell|Jeff Judkins|Linton Townes|Audie Norris|Pete Verhoeven|Jeff Lamp|Don Buse|Fat Lever|Wayne Cooper|Darnell Valentine|Kenny Carr|Jim Paxson|Calvin Natt|Mychal Thompson
1983,1980s,Warriors,Golden State Warriors,Derek Smith|Chris Engler|Hank McDowell|Terry Duerod|Larry Kenon|Rickey Brown|Lewis Lloyd|Lester Conner|Sam Williams|Sleepy Floyd|Joe Hassett|Lorenzo Romar|Ron Brewer|Larry Smith|Mickey Johnson|Michael Ray Richardson|Purvis Short|World B. Free|Joe Barry Carroll
1983,1980s,San Diego Clippers,San Diego Clippers,John Douglas|Swen Nater|Jim Brogan|Robert Smith|Hutch Jones|Bob Gross|Richard Anderson|Lowes Moore|Randy Smith|Jerome Whitehead|Joe Cooper|Al Wood|Craig Hodges|Michael Brooks|Lionel Hollins|Bill Walton|Tom Chambers|Terry Cummings
1984,1980s,Celtics,Boston Celtics,Carlos Clark|Greg Kite|M.L. Carr|Scott Wedman|Quinn Buckner|Danny Ainge|Gerald Henderson|Cedric Maxwell|Kevin McHale|Dennis Johnson|Robert Parish|Larry Bird
1984,1980s,76ers,Philadelphia 76ers,Charles Jones|Leo Rautins|Sedale Threatt|Franklin Edwards|Bruce Kuczenski|Sam Williams|Marc Iavaroni|Wes Matthews|Clemon Johnson|Clint Richardson|Bobby Jones|Andrew Toney|Maurice Cheeks|Julius Erving|Moses Malone
1984,1980s,Knicks,New York Knicks,Rudy Macklin|Eric Fernsten|Len Elmore|Ernie Grunfeld|Darrell Walker|Marvin Webster|Trent Tucker|Louis Orr|Ray Williams|Rory Sparrow|Bill Cartwright|Truck Robinson|Bernard King
1984,1980s,Nets,New Jersey Nets,Mark Jones|Bruce Kuczenski|Foots Walker|Reggie Johnson|Bill Willoughby|Mike O'Koren|Mike Gminski|Darwin Cook|Kelvin Ransey|Albert King|Michael Ray Richardson|Darryl Dawkins|Otis Birdsong|Buck Williams
1984,1980s,Bullets,Washington Bullets,Michael Wilson|DeWayne Scales|Mike Gibson|Bryan Warrick|Charles Davis|Joe Kopicki|Darren Daye|Tom McMillen|Jeff Malone|Ricky Sobers|Frank Johnson|Greg Ballard|Rick Mahorn|Jeff Ruland
1984,1980s,Bucks,Milwaukee Bucks,Linton Townes|Rory White|Randy Breuer|Paul Mokeski|Kevin Grevey|Lorenzo Romar|Harvey Catchings|Charlie Criss|Paul Pressey|Tiny Archibald|Alton Lister|Mike Dunleavy|Bob Lanier|Junior Bridgeman|Marques Johnson|Sidney Moncrief
1984,1980s,Pistons,Detroit Pistons,Ken Austin|David Thirdkill|Lionel Hollins|Walker Russell|Ray Tolbert|Earl Cureton|Terry Tyler|Kent Benson|Cliff Levingston|Vinnie Johnson|John Long|Kelly Tripucka|Bill Laimbeer|Isiah Thomas
1984,1980s,Hawks,Atlanta Hawks,John Pinone|Mark Landsberger|Rickey Brown|Charlie Criss|Armond Hill|Billy Paultz|Randy Wittman|Wes Matthews|Scott Hastings|Mike Glenn|Sly Williams|Doc Rivers|Johnny Davis|Eddie Johnson|Tree Rollins|Dan Roundfield|Dominique Wilkins
1984,1980s,Cavs,Cleveland Cavaliers,Geoff Crompton|John Garris|Stewart Granger|Ben Poquette|Paul Thompson|John Bagley|Phil Hubbard|Roy Hinson|Jeff Cook|Geoff Huston|Lonnie Shelton|World B. Free|Cliff Robinson
1984,1980s,Bulls,Chicago Bulls,Wallace Bryant|Jawann Oldham|Sidney Green|Ronnie Lester|Steve Johnson|Reggie Theus|Rod Higgins|Mitchell Wiggins|Ennis Whatley|Quintin Dailey|Dave Corzine|Orlando Woolridge|Dave Greenwood
1984,1980s,Pacers,Indiana Pacers,Tracy Jackson|Leroy Combs|Bruce Kuczenski|Granville Waiters|Brook Steppe|Kevin McKenna|Sidney Lowe|Jim Thomas|George Johnson|Butch Carter|Steve Stipanovich|Jerry Sichting|Herb Williams|Clark Kellogg
1984,1980s,Jazz,Utah Jazz,J.J. Anderson|Tom Boswell|Bob Hansen|Jerry Eaves|Jeff Wilkins|John Drew|Rich Kelley|Thurl Bailey|Mark Eaton|Darrell Griffith|Rickey Green|Adrian Dantley
1984,1980s,Mavs,Dallas Mavericks,Mark West|Roger Phegley|Jim Spanarkel|Elston Turner|Dale Ellis|Bill Garnett|Derek Harper|Jay Vincent|Kurt Nimphius|Pat Cummings|Brad Davis|Mark Aguirre|Rolando Blackman
1984,1980s,Nuggets,Denver Nuggets,Keith Edmonson|Dave Robisch|Kenny Dennard|Anthony Roberts|Howard Carter|Danny Schayes|Richard Anderson|Bill Hanzlik|Mike Evans|Rob Williams|Dan Issel|T.R. Dunn|Alex English|Kiki Vandeweghe
1984,1980s,Kansas City Kings,Kansas City Kings,Larry Micheaux|Dane Suttle|Kevin Loder|Ed Nealy|Don Buse|Steve Johnson|Dave Robisch|Joe Meriweather|LaSalle Thompson|Billy Knight|Mike Woodson|Mark Olberding|Reggie Theus|Larry Drew|Eddie Johnson
1984,1980s,Spurs,San Antonio Spurs,Roger Phegley|Bob Miller|Steve Lingenfelter|Brant Weidner|Darrell Lockhart|Dave Batton|Dave Robisch|John Paxson|Kevin Williams|Keith Edmonson|Mark McNamara|Fred Roberts|Ron Brewer|Edgar Jones|Johnny Moore|John Lucas|Artis Gilmore|Gene Banks|George Gervin|Mike Mitchell
1984,1980s,Rockets,Houston Rockets,Major Jones|Craig Ehlo|Terry Teagle|Wally Walker|Elvin Hayes|James Bailey|Allen Leavell|Phil Ford|Rodney McCray|Robert Reid|Caldwell Jones|Lewis Lloyd|Ralph Sampson
1984,1980s,Lakers,Los Angeles Lakers,Eddie Jordan|Mitch Kupchak|Larry Spriggs|Calvin Garrett|Swen Nater|Kurt Rambis|Mike McGee|Bob McAdoo|Byron Scott|Michael Cooper|James Worthy|Kareem Abdul-Jabbar|Jamaal Wilkes|Magic Johnson
1984,1980s,Blazers,Portland Trail Blazers,Tom Piotrowski|Pete Verhoeven|Jeff Lamp|Eddie Jordan|Audie Norris|Clyde Drexler|Wayne Cooper|Fat Lever|Darnell Valentine|Kenny Carr|Jim Paxson|Calvin Natt|Mychal Thompson
1984,1980s,Sonics,Seattle SuperSonics,Charles Bradley|Steve Hayes|Clay Johnson|Scooter McCray|Steve Hawes|Fred Brown|Jon Sundvold|David Thompson|Reggie King|Danny Vranes|Al Wood|Tom Chambers|Gus Williams|Jack Sikma
1984,1980s,Suns,Phoenix Suns,Alvin Scott|Mike Sanders|Rick Robey|Rory White|Charles Pittman|Paul Westphal|Johnny High|Rod Foster|Alvan Adams|James Edwards|Kyle Macy|Maurice Lucas|Walter Davis|Larry Nance
1984,1980s,Warriors,Golden State Warriors,Lorenzo Romar|Chris Engler|Russell Cross|Pace Mannion|Sam Williams|Darren Tillis|Don Collins|Ron Brewer|Mike Bratz|Mickey Johnson|Larry Smith|Lester Conner|Sleepy Floyd|Joe Barry Carroll|Purvis Short
1984,1980s,San Diego Clippers,San Diego Clippers,Rory White|Kevin Loder|Hutch Jones|Linton Townes|Billy McKinney|Hank McDowell|Jerome Whitehead|Ricky Pierce|Craig Hodges|Derek Smith|Greg Kelser|Bill Walton|Michael Brooks|James Donaldson|Terry Cummings|Norm Nixon
1985,1980s,Lakers,Los Angeles Lakers,Earl Jones|Chuck Nevitt|Ronnie Lester|Mitch Kupchak|Mike McGee|Larry Spriggs|Jamaal Wilkes|Bob McAdoo|Kurt Rambis|Michael Cooper|Byron Scott|Kareem Abdul-Jabbar|James Worthy|Magic Johnson
1985,1980s,Celtics,Boston Celtics,Rick Carlisle|Greg Kite|M.L. Carr|Carlos Clark|Quinn Buckner|Scott Wedman|Ray Williams|Cedric Maxwell|Kevin McHale|Danny Ainge|Robert Parish|Dennis Johnson|Larry Bird
1985,1980s,76ers,Philadelphia 76ers,Leon Wood|Steve Hayes|Sam Williams|Marc Iavaroni|George Johnson|Clemon Johnson|Sedale Threatt|Bobby Jones|Clint Richardson|Charles Barkley|Andrew Toney|Julius Erving|Maurice Cheeks|Moses Malone
1985,1980s,Nets,New Jersey Nets,Tom LaGarde|Wayne Sappleton|Chris Engler|Michael Wilson|George Johnson|Darwin Cook|Kevin McKenna|Jeff Turner|Albert King|Kelvin Ransey|Ron Brewer|Darryl Dawkins|Mike O'Koren|Mike Gminski|Otis Birdsong|Michael Ray Richardson|Buck Williams
1985,1980s,Bullets,Washington Bullets,Tom Sewell|Guy Williams|Charles Davis|Don Collins|Dudley Bradley|Darren Daye|Frank Johnson|Tom McMillen|Charles Jones|Rick Mahorn|Cliff Robinson|Greg Ballard|Jeff Malone|Gus Williams|Jeff Ruland
1985,1980s,Knicks,New York Knicks,Ron Cavenall|Ernie Grunfeld|Eddie Lee Wilkins|Truck Robinson|James Bailey|Butch Carter|Ken Bannister|Trent Tucker|Rory Sparrow|Darrell Walker|Louis Orr|Pat Cummings|Bernard King
1985,1980s,Bucks,Milwaukee Bucks,David Thirdkill|Chris Engler|Lorenzo Romar|Mark West|Larry Micheaux|Kenny Fields|Charles Davis|Randy Breuer|Paul Thompson|Kevin Grevey|Ricky Pierce|Paul Mokeski|Mike Dunleavy|Alton Lister|Craig Hodges|Terry Cummings|Paul Pressey|Sidney Moncrief
1985,1980s,Pistons,Detroit Pistons,Terry Teagle|Dale Wilkinson|Sidney Lowe|Lorenzo Romar|Major Jones|Brook Steppe|Tony Campbell|David Thirdkill|Kent Benson|Earl Cureton|Terry Tyler|Vinnie Johnson|Dan Roundfield|John Long|Kelly Tripucka|Bill Laimbeer|Isiah Thomas
1985,1980s,Bulls,Chicago Bulls,Chris Engler|Charles Jones|Rod Higgins|Sidney Green|Jawann Oldham|Wes Matthews|Ennis Whatley|Caldwell Jones|Steve Johnson|Dave Greenwood|Dave Corzine|Quintin Dailey|Orlando Woolridge|Michael Jordan
1985,1980s,Cavs,Cleveland Cavaliers,Butch Graves|Robert Smith|Campy Russell|Kevin Williams|Geoff Huston|Mark West|Ron Anderson|Michael Wilson|Edgar Jones|Ben Poquette|Paul Thompson|Lonnie Shelton|Jeff Cook|Melvin Turpin|Johnny Davis|Phil Hubbard|John Bagley|Roy Hinson|World B. Free
1985,1980s,Hawks,Atlanta Hawks,Leo Rautins|Stewart Granger|Sidney Lowe|Rickey Brown|Jerry Eaves|Scott Hastings|Walker Russell|Mike Glenn|Antoine Carr|Kevin Willis|Tree Rollins|Sly Williams|Cliff Levingston|Randy Wittman|Charlie Criss|Doc Rivers|Eddie Johnson|Dominique Wilkins
1985,1980s,Pacers,Indiana Pacers,Stuart Gray|Granville Waiters|Greg Kelser|Ralph Jackson|Devin Durrant|Kenton Edelin|Bill Garnett|Terence Stansbury|Tony Brown|Jim Thomas|Jerry Sichting|Steve Stipanovich|Vern Fleming|Clark Kellogg|Herb Williams
1985,1980s,Nuggets,Denver Nuggets,Willie White|Joe Kopicki|Danny Schayes|Mike Evans|Elston Turner|Bill Hanzlik|Dan Issel|Wayne Cooper|T.R. Dunn|Fat Lever|Calvin Natt|Alex English
1985,1980s,Rockets,Houston Rockets,Hank McDowell|Craig Ehlo|Larry Micheaux|Phil Ford|Jim Petersen|Allen Leavell|Mitchell Wiggins|Robert Reid|Lionel Hollins|John Lucas|Lewis Lloyd|Hakeem Olajuwon|Rodney McCray|Ralph Sampson
1985,1980s,Mavs,Dallas Mavericks,Tom Sluby|Howard Carter|Charlie Sitton|Wallace Bryant|Dale Ellis|Kurt Nimphius|Derek Harper|Sam Perkins|Brad Davis|Jay Vincent|Mark Aguirre|Rolando Blackman
1985,1980s,Jazz,Utah Jazz,Kenny Natt|Pace Mannion|Billy Paultz|J.J. Anderson|Bob Hansen|Rich Kelley|Fred Roberts|John Stockton|Jeff Wilkins|John Drew|Thurl Bailey|Rickey Green|Mark Eaton|Darrell Griffith|Adrian Dantley
1985,1980s,Spurs,San Antonio Spurs,Mark McNamara|Linton Townes|Ron Brewer|Billy Knight|Ozell Jones|Fred Roberts|Jeff Cook|John Paxson|Edgar Jones|Marc Iavaroni|Alvin Robertson|Gene Banks|David Thirdkill|George Gervin|Johnny Moore|Artis Gilmore|Mike Mitchell
1985,1980s,Kansas City Kings,Kansas City Kings,Dane Suttle|Kenny Natt|David Pope|Mark McNamara|Pete Verhoeven|Ed Nealy|Billy Knight|Joe Meriweather|Don Buse|Otis Thorpe|Mike Woodson|Mark Olberding|LaSalle Thompson|Reggie Theus|Larry Drew|Eddie Johnson
1985,1980s,Blazers,Portland Trail Blazers,Tom Scheffler|Bernard Thompson|Jerome Kersey|Audie Norris|Steve Colter|Kenny Carr|Sam Bowie|Darnell Valentine|Clyde Drexler|Jim Paxson|Mychal Thompson|Kiki Vandeweghe
1985,1980s,Suns,Phoenix Suns,Michael Young|Rick Robey|Charles Pittman|Alvin Scott|Rod Foster|Mike Sanders|Charles Jones|Michael Holton|Walter Davis|James Edwards|Jay Humphries|Alvan Adams|Maurice Lucas|Kyle Macy|Larry Nance
1985,1980s,Sonics,Seattle SuperSonics,John Schweitz|Danny Young|Cory Blackwell|Reggie King|Frank Brickowski|Joe Cooper|Scooter McCray|Jon Sundvold|Tim McCormick|Ricky Sobers|Danny Vranes|Al Wood|Gerald Henderson|Jack Sikma|Tom Chambers
1985,1980s,Los Angeles Clippers,Los Angeles Clippers,Dale Wilkinson|Jay Murphy|Lancaster Gordon|Bryan Warrick|Franklin Edwards|Rory White|Harvey Catchings|Michael Cage|Bill Walton|Junior Bridgeman|James Donaldson|Marques Johnson|Derek Smith|Norm Nixon
1985,1980s,Warriors,Golden State Warriors,Steve Burtt|Peter Thibeaux|Gary Plummer|Mike Bratz|Chuck Aleksinas|Othell Wilson|Terry Teagle|Mickey Johnson|Lester Conner|Larry Smith|Jerome Whitehead|Sleepy Floyd|Purvis Short
1986,1980s,Celtics,Boston Celtics,Greg Kite|Sam Vincent|David Thirdkill|Sly Williams|Rick Carlisle|Scott Wedman|Bill Walton|Jerry Sichting|Danny Ainge|Robert Parish|Dennis Johnson|Kevin McHale|Larry Bird
1986,1980s,76ers,Philadelphia 76ers,Michael Young|Voise Winters|Butch Carter|Kenny Green|Greg Stokes|Andrew Toney|Perry Moss|Clemon Johnson|Leon Wood|Terry Catledge|Paul Thompson|Bob McAdoo|Bobby Jones|Sedale Threatt|Julius Erving|Moses Malone|Charles Barkley|Maurice Cheeks
1986,1980s,Bullets,Washington Bullets,Claude Gregory|George Johnson|Ennis Whatley|Kenny Green|Dudley Bradley|Freeman Williams|Perry Moss|Kevin McKenna|Tom McMillen|Darren Daye|Leon Wood|Charles Jones|Manute Bol|Frank Johnson|Dan Roundfield|Gus Williams|Cliff Robinson|Jeff Ruland|Jeff Malone
1986,1980s,Nets,New Jersey Nets,Yvon Joseph|Bobby Cattage|Jeff Turner|Ray Williams|Rod Higgins|Mike O'Koren|Kelvin Ransey|Mickey Johnson|Darryl Dawkins|Darwin Cook|Albert King|Otis Birdsong|Mike Gminski|Michael Ray Richardson|Buck Williams
1986,1980s,Knicks,New York Knicks,Butch Carter|Ken Green|Fred Cofield|Bill Cartwright|Ernie Grunfeld|Bob Thornton|Ken Bannister|Chris McNealy|Trent Tucker|Darrell Walker|Gerald Wilkins|James Bailey|Louis Orr|Rory Sparrow|Pat Cummings|Patrick Ewing
1986,1980s,Bucks,Milwaukee Bucks,Earl Jones|Derrick Rowland|Bryan Warrick|Jerry Reynolds|Paul Mokeski|Kenny Fields|Mike Glenn|Charles Davis|Jeff Lamp|Randy Breuer|Alton Lister|Craig Hodges|Ricky Pierce|Terry Cummings|Paul Pressey|Sidney Moncrief
1986,1980s,Hawks,Atlanta Hawks,Lorenzo Charles|Sedric Toney|John Battle|Scott Hastings|Johnny Davis|Antoine Carr|Spud Webb|Ray Williams|Jon Koncak|Eddie Johnson|Cliff Levingston|Tree Rollins|Kevin Willis|Doc Rivers|Randy Wittman|Dominique Wilkins
1986,1980s,Pistons,Detroit Pistons,Ron Crevier|Walker Russell|Chuck Nevitt|Mike Gibson|Tony Campbell|Rick Mahorn|Kent Benson|John Long|Joe Dumars|Vinnie Johnson|Earl Cureton|Kelly Tripucka|Bill Laimbeer|Isiah Thomas
1986,1980s,Bulls,Chicago Bulls,Ron Brewer|Billy McKinney|Mike Smrek|Tony Brown|Rod Higgins|Michael Holton|Quintin Dailey|John Paxson|Charles Oakley|Jawann Oldham|Michael Jordan|George Gervin|Dave Corzine|Gene Banks|Sidney Green|Kyle Macy|Orlando Woolridge
